"1B - FS"	"1B - OR"	"AllB - FS"	"AllB - OR"	"5B - FS"	"5B - OR"
"CEBPE"	0.000964427847439083	44.501454989455	1.55486647003637e-31	204.853634085213	1.80100014058306e-21	102.125675261496
"GATA1"	0.000159435802476044	45.5256983016983	1.84348016484725e-29	82.0897112962604	1.63913809572427e-21	93.6078420575662
"GLI1"	0.988021289961348	32.7522574680222	4.88829757285448e-14	90.2927400468384	5.57720216552164e-07	56.2555074583906
"KLF1"	0.999934879161009	27.8016471894119	2.23773471214403e-12	125.269141531322	1.99543904810289e-05	52.5015445290381
"PRRX1"	0.990430427346003	28.6894887596064	2.11329021222594e-11	30.0585480093677	4.16383813837102e-06	35.459540149248
"NFE2"	0.999981766904068	28.6744478702126	7.65530585666395e-10	48.3243154074563	0.000207600071250432	42.8001162841165
"MXD1"	0.999816131699902	27.0378810383516	2.94582069797376e-09	25.014849187935	0.000112121525583301	35.8809379282536
"ZNF3"	0.999999370363511	24.6217675135322	6.31784926424441e-09	30.7358807474281	0.00121421290608951	32.5280954702564
"MYB"	0.999999999246788	26.9094176411823	1.91939020276149e-06	32.6121054344289	0.0400000046490663	34.2268053873026
"ZNF91"	0.999999999001565	23.5583802515567	1.05186360607015e-05	13.9052149825364	0.0125411228559907	27.4773421764286
"IRF4"	0.999999999942047	25.4894012131659	1.83371311936011e-05	17.5466970387244	0.0460894048963444	28.4034716394322
"PAX6"	0.999999997654657	18.860560354678	0.000288102568525673	7.12381718102542	0.0952433543167134	10.5914590816966
"NR1H4"	0.999999784280787	19.9392768799828	0.000484384494161478	5.44355276907001	0.154050600727734	7.67273505045929
"ELK3"	0.999967943964837	18.0579412565026	0.000802237597009128	3.99378789012798	0.0338988265486547	6.65018235032661
"ZNF181"	1	19.4311082381671	0.00090927701064494	14.2304535193926	0.466892114687615	20.2924450406525
"KLF10"	1	21.2205548003195	0.00145032661607821	12.0380274353186	0.497851744471988	19.5648570768836
"TAL1"	1	24.548136255901	0.00152154845969173	24.2593258426966	0.721005163563585	24.1896142632185
"ZFHX2"	1	22.5535453653101	0.00152154845969173	24.2593258426966	0.753961710406255	22.6870486645404
"ZFP3"	1	22.3455210932858	0.00152154845969173	24.2593258426966	0.653838286176298	25.8846088016981
"RUNX1"	0.999999999802016	16.1612388308859	0.00175431693643207	4.96286861534476	0.133740933212966	8.56456533582835
"ZSCAN22"	0.999999999999966	21.2309088906736	0.00299336116791054	6.61169755258425	0.233999771077664	18.3342530092676
"EPAS1"	0.999999999999717	21.8298074735722	0.00381476760846517	6.18352717431058	0.450112499591593	9.26346846335724
"TFAP4"	1	20.9589165866813	0.00490231849724787	13.4704119850187	0.72188757645951	20.9928268799491
"ZNF174"	1	23.523967396438	0.00490231849724787	13.4704119850187	0.666160829849194	25.6900804748554
"BATF3"	1	21.1402539943716	0.00874564614782491	28.758389261745	0.957670512877273	21.9607983911517
"ZNF526"	1	19.5658616416263	0.00874564614782491	28.758389261745	0.945923332893632	21.9509693518101
"SOX1"	1	21.5101123190535	0.0168568439375295	17.2505592841163	0.929405295566587	22.4257044171315
"ZNF574"	1	21.2459610977258	0.027080374256088	12.3186321508469	0.971276838615129	18.2834936741777
"ID2"	1	20.5353224030871	0.0313379228536126	5.76404494382022	0.714233400682834	18.268422833582
"RBAK"	1	23.4009385647033	0.0391607905694694	9.57867263236391	0.93800603893125	18.9565793627359
"ZNF286A"	1	20.751693291458	0.0391607905694694	9.57867263236391	0.974520371774155	16.059769866423
"ZNF519"	1	16.6909161078573	0.0400300615168578	3.8030611683092	0.739702039300258	8.28808428695893
"SNAI2"	0.999999999999913	14.3287895198483	0.0463550469873607	2.65852874179284	0.604938977475836	4.34768686011085
